Quadrat_ID,Mining_type,Spatial_Zone,Season,B02_median,B02_std,B03_median,B03_std,B04_median,B04_std,B05_median,B05_std,B06_median,B06_std,B07_median,B07_std,B08_median,B08_std,B8A_median,B8A_std,B11_median,B11_std,B12_median,B12_std
OC-Q3,Opencast,Zone_A_10m,Summer,0.07869999999999999,0.0018384776310850321,0.1005,0.003818376618407353,0.124,0.014424978336205586,0.15465,0.014495689014324208,0.17055,0.006717514421272207,0.1844,0.005798275605729689,0.18145,0.006293250352560286,0.20925,0.006293250352560276,0.32199999999999995,0.016829141392239844,0.26975,0.024960869375885125
OC-Q3,Opencast,Zone_A_10m,Winter,0.08095,0.002050609665440993,0.1113,0.006929646455628168,0.1258,0.005939696961966998,0.18345,7.071067811864696e-05,0.2,0.016546298679765224,0.2152,0.017960512242138293,0.2274,0.014283556979968257,0.23070000000000002,0.013859292911256326,0.28400000000000003,0.014142135623730904,0.24585,0.048295393155041215
OC-Q3,Opencast,Zone_B_50m,Monsoon,0.0901,0.009899494936611674,0.1235,0.013010764773832478,0.1411,0.03125411972844541,0.17775,0.017041273426595803,0.2239,0.011737972567696682,0.2478,0.018101933598375624,0.24075,0.0060104076400856596,0.26805,0.0016263455967290372,0.2977,0.0786302740679441,0.23149999999999998,0.07495331880577402
OC-Q3,Opencast,Zone_B_50m,Summer,0.08095,0.005586143571373733,0.10245,0.007990306627407991,0.1261,0.01456639969244288,0.1518,0.010606601717798213,0.172,0.004808326112068533,0.1869,0.004242640687119289,0.1903,0.0059396969619670125,0.21215,0.00445477272147524,0.3191,0.016970562748477157,0.2632,0.026021529547664977
OC-Q3,Opencast,Zone_B_50m,Winter,0.0857,0.004242640687119289,0.1142,0.008909545442950499,0.13629999999999998,0.007636753236814706,0.16615,0.012798632739476514,0.19795000000000001,0.019869700551341987,0.21265,0.02312239174480011,0.2185,0.02503158005400377,0.22875,0.022132442251138935,0.26980000000000004,0.0024041630560342913,0.21735,0.018738329701443516
OC-Q3,Opencast,Zone_C_50m,Monsoon,0.08135,0.009970205614730322,0.11545,0.013930003589374983,0.13315,0.031324830406564044,0.17404999999999998,0.020152543263816592,0.2264,0.010323759005323596,0.2506,0.017819090885900998,0.2455,0.009475230867899713,0.2712,0.0018384776310850566,0.2943,0.07650895372438445,0.223,0.07368052659963827
OC-Q3,Opencast,Zone_C_50m,Summer,0.0777,0.005515432893255071,0.10095,0.007848885271170676,0.12564999999999998,0.014071424945612306,0.15315,0.012091525958289965,0.1764,0.005091168824543131,0.19195,0.003889087296526015,0.1965,0.0032526911934581135,0.21675,0.0036062445840513878,0.31820000000000004,0.018950461735799447,0.25795,0.02778929650063132
OC-Q3,Opencast,Zone_C_50m,Winter,0.0753,0.010606601717798217,0.10335,0.015485638507985393,0.1229,0.015132085117392119,0.1599,0.018384776310850223,0.19885,0.024819448019647833,0.21544999999999997,0.028354981925580544,0.21889999999999998,0.03252691193458118,0.23145,0.02934493141924171,0.2652,0.013010764773832454,0.1993,0.0014142135623730963
OC-Q3,Opencast,Zone_D_100m,Monsoon,0.08155,0.013930003589374983,0.1177,0.020506096654409882,0.1351,0.04186072144624362,0.17735,0.02778929650063132,0.2365,0.010606601717798213,0.26145,0.02128391411371509,0.25815,0.01534421715174811,0.28200000000000003,0.00848528137423852,0.29969999999999997,0.0700035713374682,0.22104999999999997,0.07120565286548532
OC-Q3,Opencast,Zone_D_100m,Summer,0.0771,0.007353910524340089,0.10214999999999999,0.011101576464628806,0.127,0.019091883092036795,0.15625,0.015909902576697336,0.1815,0.006788225099390854,0.1968,0.005656854249492385,0.2002,0.004525483399593906,0.22045,0.004313351365237936,0.31265,0.023122391744800127,0.24995,0.029910616844190965
OC-Q3,Opencast,Zone_D_100m,Winter,0.0742,0.011737972567696691,0.1042,0.016687720036002527,0.12585000000000002,0.014778531726798855,0.16494999999999999,0.019728279195104673,0.20725,0.029062088706767093,0.2246,0.03181980515339463,0.2304,0.03648670990922584,0.24164999999999998,0.034153257531310224,0.2753,0.016546298679765196,0.1968,0.007495331880577403
OC-Q4,Opencast,Zone_A_10m,Monsoon,0.0425,0.006505382386916237,0.0628,0.012445079348883233,0.0485,0.021354624791833737,0.10114999999999999,0.025526554800834364,0.2097,0.02291025971044413,0.2449,0.037618080759124345,0.24670000000000003,0.038608030252785495,0.27485,0.029203510063004416,0.22060000000000002,0.05416437943888957,0.13105,0.06201326471006022
OC-Q4,Opencast,Zone_A_10m,Summer,0.0532,0.005939696961966995,0.07050000000000001,0.0032526911934581283,0.07855,0.013364318164425749,0.12104999999999999,0.004737615433949862,0.15360000000000001,0.0007071067811865187,0.17175,0.0010606601717797928,0.1895,0.004101219330881986,0.2026,0.00042426406871192107,0.27865,0.018738329701443488,0.203,0.009050966799187822
OC-Q4,Opencast,Zone_A_10m,Winter,0.03975,0.011242997820866104,0.0595,0.015697770542341352,0.04775,0.017606958851545035,0.09575,0.010253048327204943,0.18845,0.012374368670764583,0.21939999999999998,0.00933380951166243,0.2382,0.008485281374238578,0.2383,0.011596551211459388,0.17815,0.0024748737341529184,0.08745,0.0013435028842544493
OC-Q4,Opencast,Zone_B_50m,Monsoon,0.0435,0.00961665222413704,0.06520000000000001,0.014707821048680193,0.05425,0.02934493141924172,0.10665,0.025526554800834364,0.2138,0.02333452377915608,0.24930000000000002,0.03931513703397204,0.2488,0.03464823227814082,0.27815,0.03302188668141174,0.22735,0.054093668760770895,0.1388,0.06646803743153547
OC-Q4,Opencast,Zone_B_50m,Summer,0.05545,0.000777817459305205,0.07325000000000001,0.00021213203435596541,0.08435000000000001,0.004313351365237951,0.12095,0.001909188309203684,0.15360000000000001,0.0015556349186104002,0.17049999999999998,0.0016970562748477136,0.17815,7.071067811864696e-05,0.19924999999999998,0.0014849242404917531,0.28145,0.015627059864222706,0.21125,0.005020458146424484
OC-Q4,Opencast,Zone_B_50m,Winter,0.03895,0.012515790027001893,0.0586,0.016546298679765214,0.04795,0.016334166645409244,0.09765,0.01110157646462879,0.18685000000000002,0.017041273426595793,0.2135,0.016829141392239823,0.2206,0.019657568516986017,0.238,0.016546298679765207,0.18335,0.0010606601717798223,0.0944,0.0014142135623730963
OC-Q4,Opencast,Zone_C_50m,Monsoon,0.04685,0.011525840533340728,0.07015,0.016758430714121184,0.0602,0.03450681092190352,0.1132,0.027294321753800737,0.21894999999999998,0.023688077169749352,0.25315,0.03995153313703993,0.2519,0.03478965363437815,0.28225,0.03387041481883566,0.23605,0.05579072503561862,0.148,0.07085209947489206
OC-Q4,Opencast,Zone_C_50m,Summer,0.05975,0.0006363961030678914,0.0782,0.0014142135623730963,0.0924,0.0021213203435596446,0.12569999999999998,0.00014142135623730373,0.15455000000000002,0.0023334523779155953,0.1702,0.0021213203435596446,0.1766,0.0009899494936611753,0.1983,0.0011313708498984691,0.28985,0.013647160876900355,0.2242,0.002687005768508889
OC-Q4,Opencast,Zone_C_50m,Winter,0.041499999999999995,0.012162236636408615,0.0622,0.016122034611053285,0.053500000000000006,0.014283556979968264,0.10245,0.012232947314527278,0.18535000000000001,0.021425335469952414,0.21075,0.022273863607376237,0.2195,0.024607315985291853,0.2355,0.02135462479183371,0.19305,0.0010606601717798223,0.10475000000000001,0.005303300858899096
OC-Q4,Opencast,Zone_D_100m,Monsoon,0.050699999999999995,0.012162236636408615,0.07585,0.017041273426595803,0.06810000000000001,0.03761808075912433,0.12115,0.02623366158202091,0.2224,0.028991378028648464,0.25545,0.04518412331782037,0.2558,0.04115361466505703,0.2846,0.039173715677734734,0.24635,0.05621498910433054,0.16005,0.07261986642785843
OC-Q4,Opencast,Zone_D_100m,Summer,0.06345,0.0016263455967290594,0.08224999999999999,0.001909188309203679,0.09975,0.0004949747468305729,0.1302,0.0007071067811865482,0.15425,0.0009192388155425283,0.16915000000000002,0.0002121320343559507,0.17520000000000002,0.0005656854249492444,0.196,0.0025455844122715655,0.2963,0.010182337649086262,0.23495,0.0016263455967290667
OC-Q4,Opencast,Zone_D_100m,Winter,0.0448,0.012303657992645926,0.0664,0.016263455967290594,0.060950000000000004,0.012657211383239208,0.1095,0.013293607486307101,0.18725,0.02425376259469858,0.2116,0.026304372260139566,0.2217,0.028708535316173837,0.23654999999999998,0.024960869375885097,0.20575,0.0027577164466275356,0.118,0.007778174593052025
OC-Q5,Opencast,Zone_A_10m,Monsoon,0.061900000000000004,0.02022325394193526,0.0884,0.019798989873223344,0.0842,0.05515432893255071,0.14579999999999999,0.03111269837220809,0.23375,0.042921381618023426,0.26675,0.06710443353460335,0.26005,0.07785245660863888,0.29355,0.06286179284748412,0.2701,0.07523616151824865,0.18365,0.0898732718888102
OC-Q5,Opencast,Zone_A_10m,Summer,0.06765,0.002616295090390232,0.0896,0.004808326112068524,0.10980000000000001,0.007353910524340094,0.1426,0.004101219330881966,0.16544999999999999,0.004737615433949866,0.17895,0.005868986283848336,0.1696,0.010465180361560888,0.20265,0.008414570696119901,0.2973,0.004242640687119289,0.23205,0.019162593770155445
OC-Q5,Opencast,Zone_A_10m,Winter,0.049949999999999994,0.010394469683442245,0.07100000000000001,0.012727922061357862,0.0772,0.007636753236814716,0.12625,0.012940054095713822,0.18355,0.025809397513308976,0.20595,0.02778929650063132,0.21405000000000002,0.024536605307173196,0.2295,0.02884995667241114,0.23170000000000002,0.0052325901807804345,0.14545000000000002,0.01265721138323919
OC-Q5,Opencast,Zone_B_50m,Monsoon,0.0627,0.019374725804511404,0.09135,0.021283914113715073,0.08995,0.05352798333582164,0.14395,0.031041987694089432,0.2298,0.04157787873376898,0.2611,0.06165971131946697,0.26195,0.06625590539717952,0.28864999999999996,0.058053466735415574,0.2678,0.07778174593052022,0.1835,0.0922067242667258
OC-Q5,Opencast,Zone_B_50m,Summer,0.0712,0.004101219330881975,0.0911,0.003394112549695427,0.1114,0.007071067811865481,0.1413,0.0035355339059327407,0.16405,0.005586143571373738,0.17745,0.006576093065034884,0.1777,0.008061017305526658,0.20165,0.00756604255869605,0.29645,0.0031819805153394864,0.23170000000000002,0.01824335495461293
OC-Q5,Opencast,Zone_B_50m,Winter,0.052599999999999994,0.01074802307403552,0.0716,0.013293607486307094,0.08095,0.007283199846221427,0.12825,0.01308147545195114,0.18475,0.026375082938258222,0.20575,0.029062088706767093,0.21595,0.03415325753131025,0.2333,0.031395541084682704,0.23435,0.005303300858899111,0.14750000000000002,0.012727922061357838
OC-Q5,Opencast,Zone_C_50m,Monsoon,0.06245,0.019869700551341987,0.09015000000000001,0.02170817818242701,0.08975,0.05296229791087241,0.1421,0.030264170234784237,0.22395,0.03797163414971762,0.25395,0.055649303679381285,0.2542,0.05685138520739843,0.28175,0.0512652416360247,0.26515,0.07997377695219851,0.1832,0.0936209378290989
OC-Q5,Opencast,Zone_C_50m,Summer,0.07085,0.003889087296526015,0.091,0.0028284271247461927,0.1103,0.006929646455628168,0.14035,0.0034648232278140937,0.16194999999999998,0.00601040764008563,0.1757,0.006363961030678933,0.1784,0.008485281374238578,0.19975,0.007848885271170676,0.2956,0.0029698484809835453,0.23235,0.017182694782833095
OC-Q5,Opencast,Zone_C_50m,Winter,0.0533,0.010748023074035527,0.0739,0.0134350288425444,0.0826,0.008202438661763966,0.12985,0.013505739520663047,0.1849,0.02687005768508882,0.20665,0.030052038200428257,0.2203,0.03295117600329311,0.23504999999999998,0.0321733585439879,0.23585,0.0045961940777125634,0.1491,0.011879393923933996
OC-Q5,Opencast,Zone_D_100m,Monsoon,0.062,0.019233304448274095,0.08965000000000001,0.022839549032325497,0.08925,0.051548084348499314,0.14179999999999998,0.031254119728445384,0.2243,0.03224406922210655,0.25379999999999997,0.0490732106143464,0.25195,0.04560838738653231,0.28175,0.04376990975544726,0.26505,0.07657966440250309,0.1835,0.08980256121069154
OC-Q5,Opencast,Zone_D_100m,Summer,0.07125000000000001,0.004030508652763313,0.09235,0.0031819805153394665,0.11065,0.006717514421272207,0.1427,0.003394112549695437,0.16699999999999998,0.004808326112068513,0.18159999999999998,0.005656854249492356,0.1832,0.006788225099390854,0.2052,0.0072124891681027755,0.2943,0.003676955262170035,0.23235,0.015768481220460002
OC-Q5,Opencast,Zone_D_100m,Winter,0.05305,0.010535891039679555,0.0742,0.013859292911256337,0.081,0.009050966799187812,0.12865,0.014071424945612287,0.1863,0.027152900397563417,0.20784999999999998,0.030052038200428267,0.2198,0.033375440072005026,0.23520000000000002,0.032102647865869284,0.2339,0.0008485281374238421,0.1483,0.009192388155425116
UG-Q1,Underground,Zone_A_10m,Monsoon,0.0649,0.016122034611053285,0.09490000000000001,0.015414927829866741,0.0904,0.04978031739553294,0.1804,0.058124177413534206,0.27105,0.019162593770155445,0.31095,0.04419417382415922,0.28695000000000004,0.0557907250356186,0.34325,0.03556747109368335,0.32189999999999996,0.08145870119269027,0.23570000000000002,0.10267190462828672
