Observation_Level,Operational_Seasonal_Composite,Quadrat_ID,Mining_Type,Acquisition_Date,Acquisition_UTC,Acquisition_IST,Item_ID,Tile_MGRS,Relative_Orbit,Platform,Scene_Cloud_Cover_Pct,Season_IMD,Season_Operational,Spatial_Zone,Zone_Description,Theoretical_Denominator_Pixels,Extracted_Pixels,Valid_Terrestrial_Pixels,Terrestrial_Validity_Pct,SCL_4_Vegetation_Pixels,SCL_5_Soil_Pixels,SCL_2_DarkShadow_Pixels,SCL_7_Unclassified_Pixels,SCL_Other_Pixels,NDVI,EVI,NDRE,SWIR_Ratio
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q1,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,287,90.54,0,287,0,30,0,0.3774,0.1784,0.2238,1.363
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2477,0.1393,0.1798,1.2021
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2903,0.1623,0.1622,1.2143
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.3067,0.1677,0.1707,1.2421
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q2,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2915,0.1549,0.1624,1.2579
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2173,0.1235,0.1014,1.2302
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2361,0.1355,0.1272,1.2574
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2572,0.1479,0.1474,1.2828
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q3,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2756,0.1579,0.1545,1.3085
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3723,0.2023,0.2145,1.394
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3426,0.1776,0.1856,1.3661
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.3046,0.1589,0.1648,1.3302
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q4,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2769,0.1461,0.1488,1.3014
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2571,0.1381,0.1179,1.3466
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2662,0.1471,0.1382,1.3457
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2728,0.1515,0.144,1.335
Date-Level Extraction,Pre-monsoon Summer Composite,OC-Q5,Opencast,2024-03-25,2024-03-25T05:12:42.276000Z,2024-03-25 10:42:42,S2A_44QPK_20240325_0_L2A,44QPK,R019,sentinel-2a,3.74,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.28,0.1573,0.1449,1.3232
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.2967,0.178,0.059,1.2199
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2438,0.1606,0.0981,1.2108
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2068,0.1371,0.1002,1.2008
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q1,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.235,0.1537,0.1179,1.2122
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3105,0.1767,0.1521,1.2865
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2799,0.1718,0.1388,1.2438
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2453,0.1563,0.1218,1.2118
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q2,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2263,0.1489,0.1175,1.2166
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5613,0.3264,0.3242,1.3431
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3106,0.1889,0.1706,1.354
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2241,0.142,0.0955,1.3289
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q3,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,316,99.68,0,316,0,1,0,0.2333,0.1474,0.1112,1.2781
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4681,0.2935,0.2647,1.3683
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.4336,0.2684,0.2503,1.3533
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4451,0.2654,0.2575,1.3547
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q4,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.3639,0.221,0.2122,1.2789
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3055,0.1722,0.1373,1.1866
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.2524,0.1378,0.1217,1.2147
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2632,0.1446,0.1267,1.2295
Date-Level Extraction,Pre-monsoon Summer Composite,UG-Q5,Underground,2024-05-14,2024-05-14T05:12:44.259000Z,2024-05-14 10:42:44,S2A_44QPK_20240514_0_L2A,44QPK,R019,sentinel-2a,1.62,Summer (Pre-monsoon),Pre-monsoon Summer (Acquisition 2),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.2704,0.1532,0.1368,1.2409
