Observation_Level,Operational_Seasonal_Composite,Quadrat_ID,Mining_Type,Acquisition_Date,Acquisition_UTC,Acquisition_IST,Item_ID,Tile_MGRS,Relative_Orbit,Platform,Scene_Cloud_Cover_Pct,Season_IMD,Season_Operational,Spatial_Zone,Zone_Description,Theoretical_Denominator_Pixels,Extracted_Pixels,Valid_Terrestrial_Pixels,Terrestrial_Validity_Pct,SCL_4_Vegetation_Pixels,SCL_5_Soil_Pixels,SCL_2_DarkShadow_Pixels,SCL_7_Unclassified_Pixels,SCL_Other_Pixels,NDVI,EVI,NDRE,SWIR_Ratio
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q1,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,313,4,0,0,0,0.6349,0.4828,0.4034,1.6251
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7808,0.4962,0.4561,1.8702
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.7691,0.5495,0.5008,1.8293
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,77,4,0,0,0,0.7416,0.5317,0.4855,1.7736
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q2,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,301,16,0,0,0,0.6903,0.4993,0.4616,1.6978
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.5422,0.2436,0.1815,1.5722
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,19,76.0,13,6,4,2,0,0.5094,0.3621,0.2983,1.5854
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,67,82.72,39,28,4,10,0,0.4471,0.3339,0.2689,1.5523
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q3,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,296,93.38,187,109,4,17,0,0.4687,0.3439,0.3002,1.5365
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7453,0.5226,0.4686,1.8346
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.7433,0.5193,0.4755,1.8327
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,81,0,0,0,0,0.7177,0.4775,0.4605,1.8107
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q4,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,281,36,0,0,0,0.6461,0.4464,0.4128,1.6113
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.5568,0.4142,0.4032,1.6284
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.6541,0.4954,0.4538,1.7103
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,81,0,0,0,0,0.7126,0.541,0.4905,1.8306
Date-Level Extraction,Monsoon & Retreat Green Season Composite,UG-Q5,Underground,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,317,0,0,0,0,0.751,0.5724,0.5112,1.9521
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7232,0.3722,0.4506,1.9263
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.7149,0.3985,0.4904,1.9215
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,81,0,0,0,0,0.707,0.3905,0.4823,1.8556
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q1,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,312,98.42,253,59,0,5,0,0.644,0.3395,0.4287,1.7052
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4552,0.302,0.3584,1.2872
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,10,15,0,0,0,0.4981,0.3116,0.3151,1.317
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,35,46,0,0,0,0.4943,0.3033,0.3139,1.3725
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q2,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,137,180,0,0,0,0.5052,0.3183,0.3156,1.4346
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.517,0.3529,0.2039,1.3299
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,6,19,0,0,0,0.3629,0.2399,0.1935,1.3961
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,25,56,0,0,0,0.4038,0.2654,0.2255,1.446
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q3,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,174,143,0,0,0,0.4492,0.3061,0.261,1.4945
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7827,0.5054,0.5345,2.0899
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.7817,0.5002,0.5102,2.0623
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,81,0,0,0,0,0.7709,0.5011,0.4932,2.0176
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q4,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,317,0,0,0,0,0.7486,0.5001,0.4724,1.9346
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.7491,0.5489,0.4359,1.806
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,25,0,0,0,0,0.7126,0.5125,0.433,1.8135
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,81,0,0,0,0,0.6987,0.4866,0.4174,1.8043
Date-Level Extraction,Monsoon & Retreat Green Season Composite,OC-Q5,Opencast,2024-10-06,2024-10-06T05:12:41.715000Z,2024-10-06 10:42:41,S2B_44QPK_20241006_0_L2A,44QPK,R019,sentinel-2b,4.11,Late Monsoon Retreat / Transition,Monsoon & Retreat Green Season (Retreat Peak),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,317,0,0,0,0,0.6875,0.4677,0.406,1.788
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q1,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.5618,0.3672,0.2745,1.5176
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q1,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,4,21,0,0,0,0.4346,0.2848,0.2509,1.471
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q1,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,4,77,0,0,0,0.4021,0.2641,0.2568,1.4471
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q1,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,57,260,0,0,0,0.4472,0.2951,0.2802,1.4933
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q2,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5092,0.2734,0.2091,1.608
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q2,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.4865,0.2963,0.2636,1.5438
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q2,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4201,0.2613,0.2482,1.4668
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q2,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,14,303,0,0,0,0.3836,0.2433,0.2384,1.4259
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q3,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4493,0.2099,0.1211,1.538
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q3,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3279,0.1955,0.1635,1.511
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q3,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.2884,0.1783,0.1579,1.4472
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q3,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,0,317,0,0,0,0.3002,0.1911,0.1783,1.4032
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q4,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.5736,0.3519,0.3595,1.6564
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q4,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.5099,0.2997,0.3321,1.6427
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q4,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.4716,0.2678,0.3019,1.6175
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q4,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,4,313,0,0,0,0.4305,0.2588,0.2766,1.4577
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q5,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,1,0,0,0,0,0.4139,0.2616,0.3224,1.532
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q5,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,11,14,0,0,0,0.5338,0.3331,0.3684,1.6371
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q5,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,49,32,0,0,0,0.6035,0.385,0.406,1.7797
Date-Level Extraction,Post-monsoon Winter Composite,UG-Q5,Underground,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,317,100.0,252,65,0,0,0,0.6504,0.4229,0.4238,1.9292
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q1,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.4722,0.2424,0.3192,1.8782
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q1,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.5056,0.2828,0.3612,1.8531
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q1,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_C_50m,50 m radius circle (81 pixels),81,81,81,100.0,0,81,0,0,0,0.5035,0.2803,0.3563,1.799
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q1,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_D_100m,100 m radius circle (317 pixels),317,317,263,82.97,0,263,0,54,0,0.4739,0.2606,0.3308,1.7084
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q2,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_A_10m,"10x10 m (1 pixel, quadrat support)",1,1,1,100.0,0,1,0,0,0,0.3738,0.2371,0.2741,1.3381
Date-Level Extraction,Post-monsoon Winter Composite,OC-Q2,Opencast,2024-11-20,2024-11-20T05:12:40.676000Z,2024-11-20 10:42:40,S2A_44QPK_20241120_0_L2A,44QPK,R019,sentinel-2a,0.0,Post-monsoon Winter,Post-monsoon Winter (Acquisition 1),Zone_B_50m,"50x50 m (5x5 window, 25 pixels)",25,25,25,100.0,0,25,0,0,0,0.3761,0.2354,0.2364,1.3414
